ID,StateID,EnumerationID,HouseID,CassavaPlotInformationID,Fieldcode,Plotcode,adoption
261,11,111521,1115212,3,2,1,1
262,11,111521,1115213,1,1,1,1
263,11,111521,1115214,1,1,1,0
264,11,111521,1115214,2,1,2,0
265,11,111521,1115215,1,1,1,1
266,11,111611,1116111,1,1,1,0
267,11,111611,1116111,2,1,2,0
268,11,111611,1116111,3,1,3,0
269,11,111611,1116112,1,1,1,1
270,11,111611,1116112,2,2,1,1
271,11,111611,1116112,3,3,1,1
272,11,111611,1116113,1,1,1,0
273,11,111611,1116113,2,2,1,0
274,11,111611,1116114,1,1,1,0
275,11,111611,1116114,2,1,2,1
276,11,111611,1116115,1,1,1,1
277,11,111711,1117111,1,1,1,1
278,11,111711,1117111,2,1,2,1
279,11,111711,1117112,1,1,1,1
280,11,111711,1117113,1,1,1,1
281,11,111711,1117113,2,2,1,1
282,11,111711,1117113,3,3,1,1
283,11,111711,1117113,4,3,2,1
284,11,111711,1117114,1,1,1,1
285,11,111711,1117114,2,1,2,1
286,11,111711,1117114,3,1,3,0
287,11,111711,1117115,1,1,1,1
288,11,111711,1117115,2,1,2,1
289,11,111711,1117115,3,1,3,1
290,12,12111,121111,1,1,1,1
291,12,12111,121112,1,1,1,1
292,12,12111,121113,1,1,1,1
293,12,12111,121113,2,2,1,1
294,12,12111,121113,3,2,2,1
295,12,12111,121114,1,1,1,0
296,12,12111,121114,2,1,2,0
297,12,12111,121114,3,1,3,0
298,12,12111,121115,1,1,1,1
299,12,12111,121115,2,2,1,1
300,12,12121,121211,1,1,1,1
301,12,12121,121211,2,2,1,1
302,12,12121,121212,1,1,1,1
303,12,12121,121212,2,2,1,1
304,12,12121,121213,1,1,1,0
305,12,12121,121213,2,2,1,0
306,12,12121,121214,1,1,1,1
307,12,12121,121215,1,1,1,1
308,12,12131,121311,1,1,1,1
309,12,12131,121311,2,2,1,1
310,12,12131,121312,1,1,1,0
311,12,12131,121313,1,1,1,1
312,12,12131,121313,2,1,2,1
313,12,12131,121314,1,1,1,1
314,12,12131,121314,2,2,1,1
315,12,12131,121314,3,2,2,1
316,12,12131,121315,1,1,1,0
317,12,12131,121315,2,2,1,0
318,12,12211,122111,1,1,1,1
319,12,12211,122111,2,1,2,1
320,12,12211,122112,1,1,1,1
321,12,12211,122113,1,1,1,1
322,12,12211,122113,2,1,2,1
323,12,12211,122113,3,1,2,1
324,12,12211,122114,1,1,1,1
325,12,12211,122115,1,1,1,1
326,12,12211,122115,2,2,1,1
327,12,12311,123111,1,1,1,1
328,12,12311,123111,2,1,2,1
329,12,12311,123111,3,2,1,1
